status file for recon-all
Thu Jan  4 17:57:03 UTC 2018
#@# MotionCor Thu Jan  4 17:57:16 UTC 2018
#@# Talairach Thu Jan  4 17:57:51 UTC 2018
#@# Talairach Failure Detection Thu Jan  4 18:02:23 UTC 2018
#@# Nu Intensity Correction Thu Jan  4 18:02:23 UTC 2018
#@# Intensity Normalization Thu Jan  4 18:06:54 UTC 2018
#@# Skull Stripping Thu Jan  4 18:11:25 UTC 2018
#@# EM Registration Thu Jan  4 18:59:35 UTC 2018
#@# CA Normalize Thu Jan  4 19:34:12 UTC 2018
#@# CA Reg Thu Jan  4 19:37:17 UTC 2018
#@# SubCort Seg Fri Jan  5 01:14:44 UTC 2018
#@# Merge ASeg Fri Jan  5 03:03:30 UTC 2018
#@# Intensity Normalization2 Fri Jan  5 03:03:30 UTC 2018
#@# Mask BFS Fri Jan  5 03:09:22 UTC 2018
#@# WM Segmentation Fri Jan  5 03:09:25 UTC 2018
#@# Fill Fri Jan  5 03:13:01 UTC 2018
#@# Tessellate lh Fri Jan  5 03:14:24 UTC 2018
#@# Tessellate rh Fri Jan  5 03:14:33 UTC 2018
#@# Smooth1 lh Fri Jan  5 03:14:42 UTC 2018
#@# Smooth1 rh Fri Jan  5 03:14:50 UTC 2018
#@# Inflation1 lh Fri Jan  5 03:14:57 UTC 2018
#@# Inflation1 rh Fri Jan  5 03:15:42 UTC 2018
#@# QSphere lh Fri Jan  5 03:16:26 UTC 2018
#@# QSphere rh Fri Jan  5 03:21:16 UTC 2018
#@# Fix Topology Copy lh Fri Jan  5 03:26:17 UTC 2018
#@# Fix Topology Copy rh Fri Jan  5 03:26:17 UTC 2018
#@# Fix Topology lh Fri Jan  5 03:26:17 UTC 2018
#@# Fix Topology rh Fri Jan  5 04:17:29 UTC 2018
#@# Make White Surf lh Fri Jan  5 05:04:30 UTC 2018
#@# Make White Surf rh Fri Jan  5 05:10:50 UTC 2018
#@# Smooth2 lh Fri Jan  5 05:17:13 UTC 2018
#@# Smooth2 rh Fri Jan  5 05:17:21 UTC 2018
#@# Inflation2 lh Fri Jan  5 05:17:28 UTC 2018
#@# Inflation2 rh Fri Jan  5 05:18:13 UTC 2018
#@# Curv .H and .K lh Fri Jan  5 05:18:58 UTC 2018
#@# Curv .H and .K rh Fri Jan  5 05:20:50 UTC 2018
#@# Curvature Stats lh Fri Jan  5 05:22:46 UTC 2018
#@# Curvature Stats rh Fri Jan  5 05:22:51 UTC 2018
#@# Sphere lh Fri Jan  5 05:22:56 UTC 2018
#@# Sphere rh Fri Jan  5 06:29:43 UTC 2018
#@# Surf Reg lh Fri Jan  5 07:09:59 UTC 2018
#@# Surf Reg rh Fri Jan  5 08:24:03 UTC 2018
#@# Jacobian white lh Fri Jan  5 09:40:59 UTC 2018
#@# Jacobian white rh Fri Jan  5 09:41:01 UTC 2018
#@# AvgCurv lh Fri Jan  5 09:41:04 UTC 2018
#@# AvgCurv rh Fri Jan  5 09:41:06 UTC 2018
#@# Cortical Parc lh Fri Jan  5 09:41:08 UTC 2018
#@# Cortical Parc rh Fri Jan  5 09:41:30 UTC 2018
#@# Make Pial Surf lh Fri Jan  5 09:41:50 UTC 2018
#@# Make Pial Surf rh Fri Jan  5 10:02:25 UTC 2018
#@# Surf Volume lh Fri Jan  5 10:22:38 UTC 2018
#@# Surf Volume rh Fri Jan  5 10:22:43 UTC 2018
#@# Cortical ribbon mask Fri Jan  5 10:22:47 UTC 2018
#@# Parcellation Stats lh Fri Jan  5 10:34:27 UTC 2018
#@# Parcellation Stats rh Fri Jan  5 10:36:20 UTC 2018
#@# Cortical Parc 2 lh Fri Jan  5 10:38:14 UTC 2018
#@# Cortical Parc 2 rh Fri Jan  5 10:38:39 UTC 2018
#@# Parcellation Stats 2 lh Fri Jan  5 10:39:04 UTC 2018
#@# Parcellation Stats 2 rh Fri Jan  5 10:40:03 UTC 2018
#@# Cortical Parc 3 lh Fri Jan  5 10:41:06 UTC 2018
#@# Cortical Parc 3 rh Fri Jan  5 10:41:27 UTC 2018
#@# Parcellation Stats 3 lh Fri Jan  5 10:41:48 UTC 2018
#@# Parcellation Stats 3 rh Fri Jan  5 10:42:45 UTC 2018
#@# WM/GM Contrast lh Fri Jan  5 10:43:41 UTC 2018
#@# WM/GM Contrast rh Fri Jan  5 10:43:53 UTC 2018
#@# Relabel Hypointensities Fri Jan  5 10:44:06 UTC 2018
#@# AParc-to-ASeg aparc Fri Jan  5 10:44:44 UTC 2018
#@# AParc-to-ASeg a2009s Fri Jan  5 10:54:16 UTC 2018
#@# AParc-to-ASeg DKTatlas Fri Jan  5 11:03:55 UTC 2018
#@# APas-to-ASeg Fri Jan  5 11:13:50 UTC 2018
#@# ASeg Stats Fri Jan  5 11:14:02 UTC 2018
#@# WMParc Fri Jan  5 11:20:45 UTC 2018
#@# BA_exvivo Labels lh Fri Jan  5 11:38:38 UTC 2018
#@# BA_exvivo Labels rh Fri Jan  5 11:45:54 UTC 2018
recon-all -s 3431 finished without error at Fri Jan  5 11:52:53 UTC 2018
