status file for recon-all
Mon Jan  8 19:16:25 UTC 2018
#@# MotionCor Mon Jan  8 19:16:30 UTC 2018
#@# Talairach Mon Jan  8 19:16:49 UTC 2018
#@# Talairach Failure Detection Mon Jan  8 19:19:45 UTC 2018
#@# Nu Intensity Correction Mon Jan  8 19:19:45 UTC 2018
#@# Intensity Normalization Mon Jan  8 19:23:21 UTC 2018
#@# Skull Stripping Mon Jan  8 19:27:21 UTC 2018
#@# EM Registration Mon Jan  8 20:05:19 UTC 2018
#@# CA Normalize Mon Jan  8 20:31:17 UTC 2018
#@# CA Reg Mon Jan  8 20:33:50 UTC 2018
#@# SubCort Seg Tue Jan  9 01:07:18 UTC 2018
#@# Merge ASeg Tue Jan  9 02:56:48 UTC 2018
#@# Intensity Normalization2 Tue Jan  9 02:56:48 UTC 2018
#@# Mask BFS Tue Jan  9 03:03:13 UTC 2018
#@# WM Segmentation Tue Jan  9 03:03:17 UTC 2018
#@# Fill Tue Jan  9 03:06:43 UTC 2018
#@# Tessellate lh Tue Jan  9 03:08:18 UTC 2018
#@# Tessellate rh Tue Jan  9 03:08:29 UTC 2018
#@# Smooth1 lh Tue Jan  9 03:08:41 UTC 2018
#@# Smooth1 rh Tue Jan  9 03:08:51 UTC 2018
#@# Inflation1 lh Tue Jan  9 03:09:01 UTC 2018
#@# Inflation1 rh Tue Jan  9 03:09:57 UTC 2018
#@# QSphere lh Tue Jan  9 03:10:55 UTC 2018
#@# QSphere rh Tue Jan  9 03:17:35 UTC 2018
#@# Fix Topology Copy lh Tue Jan  9 03:24:16 UTC 2018
#@# Fix Topology Copy rh Tue Jan  9 03:24:16 UTC 2018
#@# Fix Topology lh Tue Jan  9 03:24:16 UTC 2018
#@# Fix Topology rh Tue Jan  9 03:43:37 UTC 2018
#@# Make White Surf lh Tue Jan  9 04:00:20 UTC 2018
#@# Make White Surf rh Tue Jan  9 04:09:48 UTC 2018
#@# Smooth2 lh Tue Jan  9 04:19:09 UTC 2018
#@# Smooth2 rh Tue Jan  9 04:19:18 UTC 2018
#@# Inflation2 lh Tue Jan  9 04:19:26 UTC 2018
#@# Inflation2 rh Tue Jan  9 04:20:25 UTC 2018
#@# Curv .H and .K lh Tue Jan  9 04:21:24 UTC 2018
#@# Curv .H and .K rh Tue Jan  9 04:23:52 UTC 2018
#@# Curvature Stats lh Tue Jan  9 04:26:17 UTC 2018
#@# Curvature Stats rh Tue Jan  9 04:26:24 UTC 2018
#@# Sphere lh Tue Jan  9 04:26:31 UTC 2018
#@# Sphere rh Tue Jan  9 05:42:27 UTC 2018
#@# Surf Reg lh Tue Jan  9 07:10:13 UTC 2018
#@# Surf Reg rh Tue Jan  9 08:34:47 UTC 2018
#@# Jacobian white lh Tue Jan  9 10:16:27 UTC 2018
#@# Jacobian white rh Tue Jan  9 10:16:30 UTC 2018
#@# AvgCurv lh Tue Jan  9 10:16:33 UTC 2018
#@# AvgCurv rh Tue Jan  9 10:16:36 UTC 2018
#@# Cortical Parc lh Tue Jan  9 10:16:38 UTC 2018
#@# Cortical Parc rh Tue Jan  9 10:17:05 UTC 2018
#@# Make Pial Surf lh Tue Jan  9 10:17:31 UTC 2018
#@# Make Pial Surf rh Tue Jan  9 10:42:30 UTC 2018
#@# Surf Volume lh Tue Jan  9 11:06:38 UTC 2018
#@# Surf Volume rh Tue Jan  9 11:06:44 UTC 2018
#@# Cortical ribbon mask Tue Jan  9 11:06:50 UTC 2018
#@# Parcellation Stats lh Tue Jan  9 11:31:19 UTC 2018
#@# Parcellation Stats rh Tue Jan  9 11:33:38 UTC 2018
#@# Cortical Parc 2 lh Tue Jan  9 11:35:53 UTC 2018
#@# Cortical Parc 2 rh Tue Jan  9 11:36:23 UTC 2018
#@# Parcellation Stats 2 lh Tue Jan  9 11:36:55 UTC 2018
#@# Parcellation Stats 2 rh Tue Jan  9 11:38:05 UTC 2018
#@# Cortical Parc 3 lh Tue Jan  9 11:39:18 UTC 2018
#@# Cortical Parc 3 rh Tue Jan  9 11:39:43 UTC 2018
#@# Parcellation Stats 3 lh Tue Jan  9 11:40:07 UTC 2018
#@# Parcellation Stats 3 rh Tue Jan  9 11:41:15 UTC 2018
#@# WM/GM Contrast lh Tue Jan  9 11:42:25 UTC 2018
#@# WM/GM Contrast rh Tue Jan  9 11:42:36 UTC 2018
#@# Relabel Hypointensities Tue Jan  9 11:42:47 UTC 2018
#@# AParc-to-ASeg aparc Tue Jan  9 11:43:25 UTC 2018
#@# AParc-to-ASeg a2009s Tue Jan  9 11:50:37 UTC 2018
#@# AParc-to-ASeg DKTatlas Tue Jan  9 11:57:54 UTC 2018
#@# APas-to-ASeg Tue Jan  9 12:05:11 UTC 2018
#@# ASeg Stats Tue Jan  9 12:05:23 UTC 2018
#@# WMParc Tue Jan  9 12:12:04 UTC 2018
#@# BA_exvivo Labels lh Tue Jan  9 12:30:14 UTC 2018
#@# BA_exvivo Labels rh Tue Jan  9 12:38:25 UTC 2018
recon-all -s 3507 finished without error at Tue Jan  9 12:46:38 UTC 2018
